Date,Income,Outcome,Balance
2017-11-11 00:00:00.000,0,0,0
2017-11-12 00:00:00.000,0,0,0
2017-11-13 00:00:00.000,"1,38E+00","1,45E+00","-0,07415524052"
2017-11-14 00:00:00.000,"1,42E+00","1,262526289","0,1655684186"
2017-11-15 00:00:00.000,"1,34E+00","1,196198117","0,1428381314"
2017-11-16 00:00:00.000,"1,164537601","1,38E+00","-0,2192010845"
2017-11-17 00:00:00.000,"1,192551972","1,165056573","0,02749539909"
2017-11-18 00:00:00.000,0,0,0
2017-11-19 00:00:00.000,0,0,0
2017-11-20 00:00:00.000,"1,312113134","1,46E+00","-0,1516569091"
2017-11-21 00:00:00.000,"1,177931398","1,115692052","0,06223934577"
2017-11-22 00:00:00.000,"1,112113842","1,14701966","-0,03490581738"
2017-11-23 00:00:00.000,"1,241418899","1,118752966","0,1226659333"
2017-11-24 00:00:00.000,"1,254482575","1,215512168","0,03897040745"
2017-11-25 00:00:00.000,0,0,0
2017-11-26 00:00:00.000,0,0,0
2017-11-27 00:00:00.000,"1,36E+00","1,80E+00","-0,4523712348"
2017-11-28 00:00:00.000,"1,42E+00","1,37E+00","0,05103751647"
2017-11-29 00:00:00.000,"1,62E+00","1,114252854","0,5052844762"
2017-11-30 00:00:00.000,"1,71E+00","1,34E+00","0,3664667354"
2017-12-01 00:00:00.000,"1,199286885","1,101925772","0,09736111292"
2017-12-02 00:00:00.000,0,0,0
2017-12-03 00:00:00.000,0,0,0
2017-12-04 00:00:00.000,"1,53E+00","1,41E+00","0,1122394773"
2017-12-05 00:00:00.000,"1,33E+00","1,149244426","0,1856440652"
2017-12-06 00:00:00.000,"1,40E+00","1,097781003","0,2963299485"
2017-12-07 00:00:00.000,"1,36E+00","1,143343204","0,2170449589"
2017-12-08 00:00:00.000,"1,42E+00","1,101938859","0,3263404223"
2017-12-09 00:00:00.000,0,0,0
2017-12-10 00:00:00.000,0,0,0
2017-12-11 00:00:00.000,"1,53E+00","1,51E+00","0,02211868277"
2017-12-12 00:00:00.000,"1,53E+00","1,44E+00","0,09621614413"
2017-12-13 00:00:00.000,"1,199346931","1,2296667","-0,03031976944"
2017-12-14 00:00:00.000,"1,47E+00","1,160332213","0,3122291488"
2017-12-15 00:00:00.000,"2,33E+00","1,36E+00","0,9761226429"
2017-12-16 00:00:00.000,0,0,0
2017-12-17 00:00:00.000,0,0,0
2017-12-18 00:00:00.000,"1,65E+00","2,58E+00","-0,933812258"
2017-12-19 00:00:00.000,"1,88E+00","1,45E+00","0,4338393999"
2017-12-20 00:00:00.000,"2,32E+00","1,61E+00","0,7036327369"
2017-12-21 00:00:00.000,"1,99E+00","1,76E+00","0,2280200157"
2017-12-22 00:00:00.000,"1,63E+00","1,75E+00","-0,1269485248"
2017-12-23 00:00:00.000,0,0,0
2017-12-24 00:00:00.000,0,0,0
2017-12-25 00:00:00.000,"2,83E+00","3,77E+00","-0,9359826802"
2017-12-26 00:00:00.000,"2,38E+00","2,83E+00","-0,4553665429"
2017-12-27 00:00:00.000,"2,71E+00","2,48E+00","0,2363573286"
2017-12-28 00:00:00.000,"3,27E+00","2,73E+00","0,5413793462"
2017-12-29 00:00:00.000,"2,01E+00","1,83E+00","0,17613351"
2017-12-30 00:00:00.000,"0,005620279176","0,002638678738","0,002981600437"
2017-12-31 00:00:00.000,0,0,0
2018-01-01 00:00:00.000,0,0,0
2018-01-02 00:00:00.000,0,0,0
2018-01-03 00:00:00.000,"0,006585072026","0,007369691179","-0,000784619153"
2018-01-04 00:00:00.000,"0,0007715172498",0,"0,0007715172498"
2018-01-05 00:00:00.000,"0,0007414149773","0,0000006567672436","0,0007407582101"
2018-01-06 00:00:00.000,"0,01109286992","0,1179435977","-0,1068507278"
2018-01-07 00:00:00.000,0,0,0
2018-01-08 00:00:00.000,0,0,0
2018-01-09 00:00:00.000,"1,65E+00","2,21E+00","-0,5670238532"
2018-01-10 00:00:00.000,"1,36E+00","1,55E+00","-0,1971575282"
2018-01-11 00:00:00.000,"1,58E+00","1,34E+00","0,2338358007"
2018-01-12 00:00:00.000,"1,71E+00","1,302825813","0,4041623868"
2018-01-13 00:00:00.000,0,0,0
2018-01-14 00:00:00.000,0,0,0
2018-01-15 00:00:00.000,"1,36E+00","3,75E+00","-2,38E+00"
2018-01-16 00:00:00.000,"1,021496212","1,37E+00","-0,3446198675"
2018-01-17 00:00:00.000,"1,054471021","1,46E+00","-0,4074156695"
2018-01-18 00:00:00.000,"0,9613595566","1,139613276","-0,1782537193"
2018-01-19 00:00:00.000,"1,230996455","1,23483588","-0,003839424436"
2018-01-20 00:00:00.000,0,0,0
2018-01-21 00:00:00.000,0,0,0
2018-01-22 00:00:00.000,"1,41E+00","1,53E+00","-0,1251409216"
2018-01-23 00:00:00.000,"1,166210584","1,269988474","-0,1037778908"
2018-01-24 00:00:00.000,"1,108201884","1,272716483","-0,1645145985"
2018-01-25 00:00:00.000,"1,84E+00","2,01E+00","-0,1713541077"
2018-01-26 00:00:00.000,"1,212847163","1,63E+00","-0,4141022843"
2018-01-27 00:00:00.000,0,0,0
2018-01-28 00:00:00.000,0,0,0
2018-01-29 00:00:00.000,"1,33E+00","1,71E+00","-0,3797232095"
2018-01-30 00:00:00.000,"1,308287151","1,306081139","0,002206011692"
2018-01-31 00:00:00.000,"1,47E+00","1,018090956","0,4529646345"
2018-02-01 00:00:00.000,"1,126345433","1,114063838","0,01228159434"
2018-02-02 00:00:00.000,"1,114233401","1,027538672","0,08669472877"
2018-02-03 00:00:00.000,0,0,0
2018-02-04 00:00:00.000,0,0,0
2018-02-05 00:00:00.000,"1,109064289","1,092753415","0,01631087448"
2018-02-06 00:00:00.000,"1,37E+00","1,296089904","0,06866013225"
2018-02-07 00:00:00.000,"1,225953239","1,32E+00","-0,09203341613"
2018-02-08 00:00:00.000,"1,243065145","1,33E+00","-0,08034405941"
2018-02-09 00:00:00.000,"1,75E+00","1,69E+00","0,0680632866"
2018-02-10 00:00:00.000,0,0,0
2018-02-11 00:00:00.000,0,0,0
2018-02-12 00:00:00.000,"1,42E+00","1,45E+00","-0,03190894893"
2018-02-13 00:00:00.000,"1,57E+00","1,47E+00","0,0923336869"
